country_id,country
1,Algeria
2,Argentina
3,Australia
4,Austria
5,Belgium
6,Bosnia & Herzegovina
7,Brazil
8,Bulgaria
9,Cameroon
10,Canada
11,Chile
12,China
13,Columbia
14,Costa Rica
15,Croatia
16,Denmark
17,Ecuador
18,England
19,France
20,Germany
21,Ghana
22,Greece
23,Honduras
24,Hungary
25,Iran
26,Israel
27,Italy
28,Ivory Coast
29,Japan
30,Kuwait
31,Mexico
32,Netherlands
33,Nigeria
34,Norway
35,Paraguay
36,Portugal
37,Qatar
38,Russia
39,Saudi Arabia
40,Scotland
41,South Africa
42,South Korea
43,Spain
44,Sweden
45,Switzerland
46,Tunisia
47,Turkey
48,USA
49,Ukraine
50,United Arab Emirates
51,Uruguay
