club_id,club_country_id
265,31
198,3
72,18
102,43
145,47
26,43
274,27
189,18
188,18
119,20
234,27
80,31
249,36
233,27
135,20
184,18
140,7
103,45
228,32
247,18
186,44
17,50
144,15
236,48
196,48
245,49
73,18
221,23
71,29
281,43
222,43
195,48
118,38
1,20
45,2
3,27
136,47
22,18
116,36
291,18
264,20
285,20
130,45
85,31
104,20
36,20
241,48
261,18
175,47
183,19
105,49
218,43
54,31
197,18
128,38
70,5
224,43
210,19
33,47
27,7
97,18
154,12
143,18
20,50
176,38
81,31
243,43
108,27
101,20
258,18
61,11
110,38
158,20
238,42
43,2
202,22
211,27
177,30
10,27
62,38
31,20
282,19
12,32
296,29
207,32
4,27
106,38
286,20
271,25
178,14
6,44
288,43
60,14
42,31
268,18
168,27
192,32
8,19
111,38
289,32
18,37
75,31
206,22
256,18
148,27
121,19
232,36
151,45
164,13
64,27
225,34
163,18
37,20
46,2
204,19
277,27
214,31
19,39
267,10
147,47
68,43
74,46
90,20
134,20
235,5
251,48
91,20
139,32
77,31
239,7
9,19
11,19
122,38
38,7
35,18
278,42
66,18
194,25
124,29
51,23
283,34
69,40
240,7
25,31
269,19
96,25
253,19
273,43
230,7
190,3
47,48
295,18
292,18
263,20
86,18
173,47
120,45
49,23
172,29
146,29
112,19
13,34
161,20
199,18
212,25
208,7
191,18
126,32
181,37
24,27
83,48
125,32
220,5
21,47
59,14
82,11
34,27
107,19
279,37
152,12
270,47
88,14
167,29
227,20
200,18
23,18
50,23
98,19
114,19
109,16
14,36
58,17
242,25
290,33
67,47
275,27
223,48
55,7
157,20
162,48
39,3
115,22
174,47
293,18
87,13
117,38
226,19
169,5
133,6
15,3
182,43
160,27
41,2
209,22
89,31
248,36
56,7
255,5
29,45
65,27
53,31
159,26
2,19
216,18
297,25
99,38
203,19
149,43
30,17
260,42
215,12
94,33
276,1
166,42
57,1
32,12
205,41
7,27
150,43
63,8
280,29
93,43
155,15
171,29
44,43
237,29
179,17
284,10
95,46
250,36
257,34
219,43
52,11
266,27
185,48
129,49
123,38
244,28
294,3
48,17
5,32
76,5
201,19
132,4
153,12
28,13
113,45
92,47
246,12
231,4
138,47
16,21
165,47
79,51
259,33
142,20
170,5
100,26
180,18
254,19
131,38
229,32
141,25
84,9
252,34
137,24
262,18
272,43
127,49
217,19
187,41
78,35
287,20
40,42
193,15
213,18
156,15
